,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,att_hd_goal,att_pen_goal,att_ibox_goal,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_long_balls,backward_pass,total_cross,corner_taken,touches,dispossessed,total_high_claim,punches
Arsenal,26.0,3.0,79.0,71.0,6.0,11.0,6.0,0.0,1.0,3.0,2.0,14.0,36.0,2.0,5.0,19.0,26.0,28.0,16.0,2.0,0.0,0.0,314.0,53.0,39.0,17.0,5.0,564.0,13.0,1.0,0.0
Liverpool,24.0,6.0,67.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester United,24.0,9.0,87.0,54.0,1.0,9.0,2.0,0.0,0.0,0.0,1.0,13.0,45.0,3.0,1.0,6.0,25.0,14.0,5.0,2.0,0.0,0.0,516.0,58.0,47.0,22.0,6.0,761.0,13.0,1.0,2.0
Newcastle United,21.0,9.0,74.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leeds United,18.0,8.0,53.0,69.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,17.0,8.0,66.0,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham United,15.0,15.0,48.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tottenham Hotspur,14.0,16.0,49.0,59.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,12.0,12.0,46.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blackburn Rovers,12.0,16.0,55.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
