,wins,losses,goals,total_yel_card,total_red_card,clean_sheet,goals_conceded,own_goals
Arsenal,26.0,0.0,73.0,51.0,3.0,15.0,26.0,1.0
Chelsea,24.0,7.0,67.0,45.0,3.0,21.0,30.0,1.0
Manchester United,23.0,9.0,64.0,42.0,3.0,14.0,35.0,3.0
Liverpool,16.0,10.0,55.0,49.0,1.0,15.0,37.0,1.0
Aston Villa,15.0,12.0,48.0,54.0,3.0,12.0,44.0,1.0
Bolton Wanderers,14.0,13.0,48.0,69.0,0.0,10.0,56.0,2.0
Charlton Athletic,14.0,13.0,51.0,38.0,3.0,10.0,51.0,0.0
Fulham,14.0,14.0,52.0,65.0,3.0,15.0,46.0,1.0
Middlesbrough,13.0,16.0,44.0,58.0,1.0,14.0,52.0,2.0
Newcastle United,13.0,8.0,52.0,45.0,3.0,11.0,40.0,2.0
Tottenham Hotspur,13.0,19.0,47.0,64.0,1.0,8.0,57.0,3.0
Birmingham City,12.0,12.0,43.0,47.0,5.0,15.0,48.0,0.0
Blackburn Rovers,12.0,18.0,51.0,61.0,3.0,8.0,59.0,1.0
Portsmouth,12.0,17.0,47.0,64.0,3.0,8.0,54.0,3.0
Southampton,12.0,15.0,44.0,52.0,3.0,12.0,45.0,1.0
Everton,9.0,17.0,45.0,53.0,3.0,10.0,57.0,1.0
Manchester City,9.0,15.0,55.0,51.0,3.0,7.0,54.0,3.0
Leeds United,8.0,21.0,40.0,70.0,5.0,3.0,79.0,2.0
Wolverhampton Wanderers,7.0,19.0,38.0,66.0,2.0,7.0,77.0,1.0
Leicester City,6.0,17.0,48.0,62.0,7.0,9.0,65.0,8.0
