,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Liverpool,32.0,3.0,85.0,38.0,1.0,591.0,231.0,17.0,19.0,5.0,2.0,72.0,14.0,11.0,53.0,15.0,33.0,76.0,68.0,352.0,550.0,6.0,587.0,259.0,1.0,1.0,1.0,23872.0,68.0,2458.0,3395.0,896.0,257.0,30987.0,65.0,2.0,306.0,0.0,18.0,14.0
Manchester City,26.0,9.0,102.0,60.0,4.0,745.0,266.0,27.0,11.0,6.0,5.0,85.0,18.0,4.0,69.0,17.0,35.0,76.0,66.0,352.0,514.0,1.0,476.0,241.0,1.0,3.0,3.0,26329.0,85.0,1978.0,4216.0,914.0,298.0,33242.0,83.0,3.0,341.0,0.0,15.0,10.0
Chelsea,20.0,12.0,69.0,60.0,0.0,625.0,223.0,14.0,9.0,7.0,2.0,59.0,10.0,8.0,63.0,9.0,54.0,65.0,91.0,459.0,638.0,6.0,586.0,296.0,3.0,2.0,2.0,23244.0,61.0,2142.0,3668.0,862.0,247.0,30947.0,71.0,3.0,414.0,0.0,21.0,6.0
Leicester City,18.0,12.0,67.0,41.0,3.0,540.0,191.0,12.0,11.0,5.0,1.0,59.0,9.0,9.0,64.0,13.0,43.0,96.0,92.0,423.0,742.0,6.0,700.0,344.0,3.0,11.0,8.0,19915.0,69.0,2078.0,2975.0,779.0,221.0,27659.0,49.0,1.0,328.0,2.0,14.0,8.0
Manchester United,18.0,8.0,66.0,73.0,0.0,544.0,216.0,15.0,5.0,10.0,1.0,54.0,12.0,6.0,56.0,13.0,36.0,96.0,99.0,379.0,580.0,1.0,627.0,327.0,1.0,3.0,3.0,20059.0,64.0,1850.0,2790.0,635.0,204.0,27360.0,52.0,0.0,396.0,0.0,13.0,10.0
Tottenham Hotspur,16.0,11.0,61.0,82.0,3.0,444.0,160.0,7.0,8.0,3.0,1.0,55.0,6.0,8.0,66.0,8.0,47.0,140.0,148.0,381.0,665.0,5.0,841.0,433.0,2.0,7.0,5.0,18644.0,79.0,2075.0,2584.0,641.0,200.0,26302.0,35.0,4.0,437.0,2.0,24.0,13.0
Burnley,15.0,14.0,43.0,67.0,0.0,387.0,134.0,8.0,12.0,3.0,0.0,37.0,6.0,2.0,89.0,15.0,50.0,120.0,175.0,387.0,547.0,3.0,833.0,429.0,1.0,6.0,4.0,12814.0,29.0,2698.0,1983.0,743.0,171.0,19973.0,56.0,4.0,291.0,1.0,52.0,11.0
Southampton,15.0,16.0,51.0,53.0,4.0,499.0,181.0,16.0,4.0,2.0,2.0,39.0,12.0,2.0,58.0,9.0,60.0,109.0,124.0,425.0,706.0,4.0,824.0,373.0,1.0,4.0,3.0,15667.0,27.0,2514.0,2400.0,690.0,210.0,23611.0,46.0,1.0,362.0,1.0,29.0,16.0
Wolverhampton Wanderers,15.0,9.0,52.0,57.0,2.0,461.0,148.0,10.0,10.0,4.0,1.0,46.0,7.0,6.0,49.0,13.0,40.0,91.0,109.0,437.0,646.0,5.0,652.0,358.0,1.0,3.0,1.0,16764.0,40.0,2562.0,2601.0,718.0,193.0,24066.0,47.0,1.0,338.0,2.0,21.0,5.0
Arsenal,14.0,10.0,56.0,86.0,5.0,406.0,151.0,15.0,5.0,3.0,1.0,51.0,5.0,2.0,73.0,10.0,48.0,147.0,141.0,351.0,584.0,1.0,703.0,388.0,0.0,8.0,7.0,18649.0,67.0,1983.0,3032.0,699.0,231.0,25916.0,31.0,6.0,370.0,1.0,25.0,18.0
Sheffield United,14.0,12.0,39.0,61.0,3.0,353.0,114.0,3.0,5.0,1.0,0.0,38.0,1.0,3.0,78.0,13.0,39.0,102.0,106.0,420.0,611.0,3.0,880.0,455.0,0.0,4.0,1.0,14922.0,15.0,2767.0,2312.0,866.0,212.0,22145.0,49.0,1.0,292.0,1.0,21.0,16.0
Everton,13.0,15.0,44.0,70.0,3.0,469.0,162.0,13.0,16.0,1.0,0.0,43.0,1.0,3.0,58.0,9.0,56.0,95.0,111.0,408.0,671.0,2.0,731.0,393.0,3.0,5.0,3.0,15826.0,55.0,2376.0,2275.0,804.0,203.0,23388.0,47.0,1.0,345.0,0.0,25.0,11.0
Crystal Palace,11.0,17.0,31.0,62.0,3.0,376.0,120.0,8.0,5.0,3.0,2.0,27.0,5.0,1.0,53.0,10.0,50.0,126.0,135.0,444.0,686.0,0.0,802.0,374.0,2.0,3.0,0.0,14688.0,19.0,2186.0,2344.0,588.0,177.0,22571.0,26.0,3.0,479.0,0.0,23.0,25.0
Newcastle United,11.0,16.0,38.0,66.0,3.0,399.0,133.0,11.0,7.0,0.0,1.0,34.0,4.0,2.0,75.0,11.0,58.0,140.0,152.0,391.0,603.0,0.0,934.0,478.0,2.0,2.0,2.0,13066.0,18.0,2378.0,2015.0,591.0,151.0,20238.0,36.0,6.0,288.0,0.0,21.0,19.0
West Ham United,10.0,19.0,49.0,62.0,2.0,417.0,163.0,10.0,7.0,4.0,1.0,44.0,5.0,3.0,66.0,7.0,62.0,129.0,117.0,421.0,696.0,3.0,752.0,380.0,3.0,6.0,5.0,15101.0,38.0,2406.0,2300.0,737.0,190.0,22359.0,43.0,2.0,322.0,1.0,13.0,24.0
