Team,OVA,ATT,MID,DEF,Players
Man City,86,86,86,86,27
Chelsea,84,84,85,82,31
Liverpool,84,84,82,85,31
Man United,82,83,84,81,33
Tottenham,81,83,81,80,29
Arsenal,80,84,81,79,30
Aston Villa,79,78,78,80,32
West Ham,79,79,80,78,29
Leicester,79,80,80,78,33
Newcastle,78,79,78,79,33
Wolves,78,78,80,76,33
Everton,77,77,77,76,29
Crystal Palace,76,77,76,76,29
Leeds,76,77,75,76,29
Nott'm Forest,76,76,76,75,33
Brighton,76,75,75,77,30
Fulham,76,77,76,75,30
Southampton,75,76,74,75,27
Brentford,75,76,74,75,30
Bournemouth,74,74,74,73,28
